language,title,path,word_count,image,news_article
tr,"İran–Amerika Savaşı 2026: Ne Oluyor, Hürmüz Boğazı Neden Kritik?",/2026/07/iran-amerika-savasi-2026-ne-oluyor-hurmuz-neden-onemli.html,1194,/generated-middle-east/iran-us-war-2026.webp,true
tr,İran–İsrail Çatışması Nasıl Başladı? Gölge Savaştan Açık Savaşa,/2026/07/iran-israil-catismasi-nasil-basladi-golge-savastan-acik-savasa.html,1354,/generated-middle-east/iran-israel-conflict.webp,true
tr,"Husiler Kimdir? Yemen, İran Bağlantısı ve Kızıldeniz Saldırıları",/2026/07/husiler-kimdir-yemen-iran-baglantisi-kizildeniz.html,1299,/generated-middle-east/houthis-yemen-red-sea.webp,true
tr,Hürmüz Boğazı ve Babülmendep Nerede? Dünya Ticareti Neden Bu İki Geçide Bağlı?,/2026/07/hurmuz-bogazi-babulmendep-nerede-neden-onemli.html,1265,/generated-middle-east/hormuz-bab-el-mandeb.webp,true
tr,"İran Nükleer Programı Nedir? Uranyum Zenginleştirme, IAEA ve Yaptırımlar",/2026/07/iran-nukleer-programi-nedir-uranyum-iaea-yaptirimlar.html,1209,/generated-middle-east/iran-nuclear-program.webp,true
tr,"“Direniş Ekseni” Nedir? Hizbullah, Husiler, Hamas ve Irak Milisleri Aynı Yapı mı?",/2026/07/direnis-ekseni-nedir-hizbullah-husiler-hamas-irak-milisleri.html,1163,/generated-middle-east/axis-of-resistance.webp,true
tr,"İranlı Şiiler Kimdir? On İki İmam Şiiliği, Safeviler ve Modern İran",/2026/07/iranli-siiler-kimdir-on-iki-imam-safeviler-modern-iran.html,1242,/generated-middle-east/iranian-shia-history.webp,false
tr,"Şii ve Sünni Arasındaki Fark Nedir? Tarih, İnanç ve Uygulamalar",/2026/07/sii-sunni-farki-nedir-tarih-inanc-uygulamalar.html,1181,/generated-middle-east/sunni-shia-difference.webp,false
tr,"Yahudilik, İsrail ve Siyonizm Aynı Şey mi? Kavramların Farkı",/2026/07/yahudilik-israil-siyonizm-ayni-sey-mi-farklari.html,1196,/generated-middle-east/judaism-israel-zionism.webp,false
tr,İsrail–Filistin Sorunu Nasıl Başladı? 19. Yüzyıldan Günümüze Kronoloji,/2026/07/israil-filistin-sorunu-nasil-basladi-kronoloji.html,1198,/generated-middle-east/israel-palestine-history.webp,false
tr,Yahudiler ve Müslümanlar Tarihte Nasıl Yaşadı? Endülüs’ten Osmanlı’ya,/2026/07/yahudiler-ve-muslumanlar-tarihte-nasil-yasadi.html,1166,/generated-middle-east/jewish-muslim-relations.webp,false
tr,"ABD Orta Doğu’da Neden Var? Üsler, Petrol, İsrail ve Deniz Yolları",/2026/07/abd-ortadoguda-neden-var-usler-petrol-israil-deniz-yollari.html,1183,/generated-middle-east/us-middle-east-policy.webp,true
en,Iran–US Conflict 2026: What Is Happening and Why the Strait of Hormuz Matters,/en/iran-us-conflict-2026-what-is-happening,1186,iranUsWar2026,true
en,Iran–Israel Conflict: How a Shadow War Became Open Warfare,/en/iran-israel-conflict-from-shadow-war-to-open-war,1223,iranIsraelConflict,true
en,"Who Are the Houthis? Yemen, Iran and the Red Sea Attacks Explained",/en/who-are-the-houthis-yemen-iran-and-red-sea-attacks,1263,houthisRedSea,true
en,The Strait of Hormuz and Bab el-Mandeb: Why Two Narrow Waterways Matter to the World,/en/strait-of-hormuz-and-bab-el-mandeb-explained,1239,hormuzBab,true
en,"Iran’s Nuclear Programme: Uranium Enrichment, IAEA Inspections and Sanctions",/en/iran-nuclear-program-uranium-iaea-and-sanctions,1205,iranNuclear,true
en,"Iranian Shia Muslims: Twelver Shiism, the Safavids and Modern Iran",/en/iranian-shia-muslims-twelver-shiism-safavids-and-modern-iran,1183,iranianShia,true
en,"Sunni and Shia Islam: The Historical Split, Beliefs and Practices",/en/sunni-shia-difference-history-beliefs-and-practices,1153,sunniShia,true
en,"Judaism, Israel and Zionism: What Is the Difference?",/en/judaism-israel-and-zionism-what-is-the-difference,1138,judaismIsrael,true
