id,title,topic,word_count,turkish_counterpart,path,slug
en-anunnaki,Who Were the Anunnaki? Mesopotamian Gods Beyond the Internet Myth,mesopotamia,1497,yes,/en/who-were-the-anunnaki-mesopotamian-gods-explained,who-were-the-anunnaki-mesopotamian-gods-explained
en-igigi,Who Were the Igigi? The Younger Gods in Mesopotamian Myth,mesopotamia,1439,no,/en/who-were-the-igigi-in-mesopotamian-myth,who-were-the-igigi-in-mesopotamian-myth
en-anunnaki-vs-igigi,Anunnaki vs Igigi: What Is the Difference in Mesopotamian Texts?,mesopotamia,1390,no,/en/anunnaki-vs-igigi-what-is-the-difference,anunnaki-vs-igigi-what-is-the-difference
en-anunnaki-human-creation,Did the Anunnaki Create Humans? What Mesopotamian Tablets Actually Say,mesopotamia,1365,no,/en/did-the-anunnaki-create-humans-what-the-tablets-say,did-the-anunnaki-create-humans-what-the-tablets-say
en-anunnaki-bible,Are the Anunnaki in the Bible? Anunnaki and Nephilim Compared,mesopotamia,1301,no,/en/are-the-anunnaki-in-the-bible-nephilim-comparison,are-the-anunnaki-in-the-bible-nephilim-comparison
en-nibiru,Nibiru and the Twelfth Planet Claim: Where Did the Story Come From?,mesopotamia,1363,yes,/en/nibiru-and-the-twelfth-planet-claim-explained,nibiru-and-the-twelfth-planet-claim-explained
en-enuma-elish,"Enuma Elish Explained: Creation, Marduk and Babylonian Power",mesopotamia,1295,no,/en/enuma-elish-babylonian-creation-epic-explained,enuma-elish-babylonian-creation-epic-explained
en-sumerian-king-list,"The Sumerian King List: Did Kings Really Reign for 28,800 Years?",mesopotamia,1309,yes,/en/sumerian-king-list-did-kings-live-for-28800-years,sumerian-king-list-did-kings-live-for-28800-years
en-phaistos-disc,The Phaistos Disc: Crete’s Unsolved Message Written in 45 Symbols,undeciphered-scripts,1299,yes,/en/phaistos-disc-45-symbols-unsolved-message,phaistos-disc-45-symbols-unsolved-message
en-linear-a,Linear A: Why the Minoan Script Remains Undeciphered,undeciphered-scripts,1263,no,/en/linear-a-why-the-minoan-script-remains-undeciphered,linear-a-why-the-minoan-script-remains-undeciphered
en-rongorongo,Rongorongo: Can Easter Island’s Mysterious Signs Be Deciphered?,undeciphered-scripts,1257,no,/en/rongorongo-easter-islands-undeciphered-script,rongorongo-easter-islands-undeciphered-script
en-indus-script,The Indus Script: Why Thousands of Signs Still Resist Decipherment,undeciphered-scripts,1273,no,/en/indus-script-why-it-has-not-been-deciphered,indus-script-why-it-has-not-been-deciphered
en-cuneiform-decipherment,How Cuneiform Was Deciphered: The Behistun Inscription and a Scholarly Race,undeciphered-scripts,1241,no,/en/how-cuneiform-was-deciphered-behistun-inscription,how-cuneiform-was-deciphered-behistun-inscription
en-reading-sumerian-tablets,How Are Sumerian Tablets Read? From Broken Clay to Modern Translation,undeciphered-scripts,1242,no,/en/how-sumerian-tablets-are-read-and-translated,how-sumerian-tablets-are-read-and-translated
