language,title,words,path
TR,"Mısır’daki Altın Diller: Marina el-Alamein Mezarlarında Bulunan 24 Altın Muska Ne Anlama Geliyor?",1063,/2026/07/misir-altin-dil-muskasi-marina-el-alamein.html
TR,"Sak Tahn Waax: 1.200 Yıl Sonra Adı Okunan Maya Matematikçisi ve Gezegen Formülü",1106,/2026/07/sak-tahn-waax-maya-matematikcisi-gezegen-formulu.html
TR,"Vindolanda’da Bulunan Roma Koruyucu Ruhu: 1.600 Yıllık Genius Kabartması",1004,/2026/07/vindolanda-roma-genius-kabartmasi-koruyucu-ruh.html
TR,"Dakhla Vahası’nda 1.600 Yıllık Bizans Kenti: 200 Ostraka Günlük Hayatı Anlatıyor",1024,/2026/07/dakhla-vahasi-bizans-kenti-200-ostraka.html
TR,"İskit Altın Adam’ın DNA’sı: Bozkır Elitleri Gücü Aile İçinde mi Aktarıyordu?",1027,/2026/07/iskit-altin-adam-dna-elit-aileler.html
TR,"Stonehenge’den 500 Yıl Önce: Bulford’daki Ahşap Gündönümü Anıtı Bir Prototip miydi?",1001,/2026/07/stonehenge-ahsap-prototip-bulford-gundonumu.html
TR,"Qafzeh 25: 100 Bin Yıl Önce Yüzünden Yaralanan ve Hayatta Kalan İnsan",1030,/2026/07/qafzeh-25-yuz-yarasi-erken-insan-siddet.html
EN,"Golden Tongues in Egypt: What the Marina el-Alamein Burials Really Mean",1355,/en/golden-tongues-marina-el-alamein-explained
EN,"Sak Tahn Waax: The Named Maya Mathematician Behind a Planetary Formula",1295,/en/sak-tahn-waax-maya-mathematician-formula
EN,"Vindolanda’s Roman Genius: The Guardian Spirit Hidden Beneath a Barrack Floor",1225,/en/vindolanda-roman-genius-guardian-spirit
EN,"The Byzantine City of Dakhla Oasis: 200 Ostraca Bring Daily Life Into Focus",1213,/en/dakhla-oasis-byzantine-city-ostraca
EN,"Scythian Golden Man DNA: Were Steppe Elites Born Into Power?",1168,/en/scythian-golden-man-dna-elite-families
EN,"A Wooden Prototype for Stonehenge? The Solstice Monument at Bulford",1199,/en/wooden-stonehenge-prototype-bulford
EN,"Qafzeh 25: A Human Survived a Sharp-Force Jaw Injury 100,000 Years Ago",1189,/en/qafzeh-25-jaw-wound-early-human-violence
