path,title,type,published,primary
/2025/11/tarihte-bugun-2-kasim-bbc-ilk-televizyon-yayinini-yapti.html,🗓️ TARİHTE BUGÜN – 2 KASIM: BBC İLK TELEVİZYON YAYININI YAPTI,POST,2025-11-03,yes
/2025/11/tarihte-bugn-2-kasim-bbc-ilk-televizyon-yayinini-yapti.html,🗓️ TARİHTE BUGÜN – 2 KASIM: BBC İLK TELEVİZYON YAYININI YAPTI,POST,2025-11-03,alias
/2025/12/iskan-politikasi-nedir-osmanli-da-iskan-ve-surgun-sistemi-ders-notu.html,İskan Politikası Nedir? | Osmanlı'da İskan ve Sürgün Sistemi - Ders Notu,POST,2025-12-29,yes
/2025/12/iskan-politikas-nedir-osmanl-da-iskan-ve-srgn-sistemi-ders-notu.html,İskan Politikası Nedir? | Osmanlı'da İskan ve Sürgün Sistemi - Ders Notu,POST,2025-12-29,alias
/2025/12/i-dunya-savasi-1914-1918-nedenleri-cepheler-ve-sonuclari-ders-notu.html,"I. Dünya Savaşı (1914-1918) | Nedenleri, Cepheler ve Sonuçları - Ders Notu",POST,2025-12-30,yes
/2025/12/i-dnya-sava-1914-1918-nedenleri-cepheler-ve-sonular-ders-notu.html,"I. Dünya Savaşı (1914-1918) | Nedenleri, Cepheler ve Sonuçları - Ders Notu",POST,2025-12-30,alias
/2025/12/gokturk-alfabesinin-gizli-gucu-tasa-kazinan-sifreler.html,Göktürk Alfabesinin Gizli Gücü: Taşa Kazınan Şifreler,POST,2025-12-24,yes
/2025/12/gktrk-alfabesinin-gizli-gc-taa-kaznan-ifreler.html,Göktürk Alfabesinin Gizli Gücü: Taşa Kazınan Şifreler,POST,2025-12-24,alias
/2025/10/tarihte-bugun-30-ekim.html,Tarihte Bugün: 30 Ekim,POST,2025-10-30,yes
/2025/10/tarihte-bugn-30-ekim.html,Tarihte Bugün: 30 Ekim,POST,2025-10-30,alias
/2025/10/tarihte-bugun-1-kasim.html,Tarihte Bugün: 1 Kasım,POST,2025-10-31,yes
/2025/10/tarihte-bugn-1-kasm.html,Tarihte Bugün: 1 Kasım,POST,2025-10-31,alias
/2025/12/anunnaki-nedir-sumer-tanrilari-ve-antik-uzayli-teorisi-tarih-ve-gizem.html,Anunnaki Nedir? | Sümer Tanrıları ve Antik Uzaylı Teorisi - Tarih ve Gizem,POST,2025-12-31,yes
/2025/12/anunnaki-nedir-smer-tanrlar-ve-antik-uzayl-teorisi-tarih-ve-gizem.html,Anunnaki Nedir? | Sümer Tanrıları ve Antik Uzaylı Teorisi - Tarih ve Gizem,POST,2025-12-31,alias
/2025/11/sumer-metinlerinde-anunnaki-kaderleri-belirleyenlerden-goksel-meclise.html,Sümer Metinlerinde Anunnaki: Kaderleri Belirleyenlerden Göksel Meclise,POST,2025-11-06,yes
/2025/11/smer-metinlerinde-anunnaki-kaderleri-belirleyenlerden-gksel-meclise.html,Sümer Metinlerinde Anunnaki: Kaderleri Belirleyenlerden Göksel Meclise,POST,2025-11-06,alias
/2025/10/tarihte-bugun-31-ekim.html,Tarihte Bugün: 31 Ekim,POST,2025-10-30,yes
