id,title,type,before_words,after_words
"odyomuh-trend-20260626-01-phaistos-diski-giritin-cozulemeyen-yazisi","Phaistos Diski: Girit’in 45 İşaretle Yazılmış Çözülemeyen Mesajı",archaeology,345,1416
"odyomuh-trend-20260626-03-baalbek-taslari-dev-bloklar-nasil-tasindi","Baalbek Taşları: Antik Dünyanın Dev Blokları Nasıl Taşındı?",archaeology,331,1395
"odyomuh-trend-20260626-06-truva-hazinesi-nerede-schliemannin-tartismali-mirasi","Truva Hazinesi Nerede? Schliemann’ın Tartışmalı Mirasının İzinde",archaeology,295,1342
"odyomuh-trend-20260626-07-derinkuyu-yeralti-sehri-kimler-neden-yapti","Derinkuyu Yeraltı Şehri: Kimler Yaptı, Neden Yeraltına İndi?",archaeology,314,1378
"odyomuh-trend-20260626-02-nibiru-ve-12-gezegen-iddiasi-anu","Nibiru ve 12. Gezegen İddiası: Anunnaki Efsanesinin Popüler Kökü",claims,306,1396
"odyomuh-trend-20260626-04-karahan-tepe-ve-tas-tepeler-gobe","Karahan Tepe ve Taş Tepeler: Göbekli Tepe’den Sonra Tarih Yeniden mi Yazılıyor?",archaeology,312,1433
"odyomuh-trend-20260626-05-tartaria-efsanesi-internette-buy","Tartaria Efsanesi: İnternette Büyüyen Kayıp İmparatorluk İddiası Gerçek mi?",claims,295,1387
"odyomuh-trend-20260626-08-piri-reis-haritasi-antarktika-yi","Piri Reis Haritası Antarktika’yı Gösteriyor mu? Popüler İddia ve Gerçekler",history,298,1444
"odyomuh-trend-20260626-09-nazca-cizgileri-uzaylilar-icin-m","Nazca Çizgileri Uzaylılar İçin mi Yapıldı? Antik Peru’nun Dev Jeoglifleri",archaeology,273,1367
"odyomuh-trend-20260626-10-sumer-kral-listesi-28-800-yil-ya","Sümer Kral Listesi: 28.800 Yıl Yaşayan Krallar Gerçek mi?",myth,289,1371
"odyomuh-original-antikythera-20260613","Antikythera Mekanizması: Antik Dünyanın Gökyüzünü Hesaplayan Dişli Bilgisayarı",archaeology,411,1473
"odyomuh-original-dancing-plague-20260613","1518 Dans Salgını: Strasbourg Halkı Neden Haftalarca Durmadan Dans Etti?",history,394,1544
"odyomuh-original-year-536-20260613","536: Güneşin Solduğu, Kışın Bitmediği ve Dünyanın Soğuduğu Karanlık Yıl",history,371,1520
"odyomuh-original-catalhoyuk-20260613","Çatalhöyük: Sokakları Olmayan, Evlerine Damdan Girilen 9.000 Yıllık Kent",archaeology,414,1509
"tag:blogger.com,1999:blog-6020428279796748354.post-3972410385937156048","Rongorongo Yazısı: Paskalya Adası'nın 26 Tahta Levhada Saklı Çözülemeyen Sırrı",archaeology,1653,1653
"tag:blogger.com,1999:blog-6020428279796748354.post-8953360520591309620","Voynich Manuscripti: 600 Yıldır Kimsenin Okuyamadığı Gizemli Kitap",claims,1535,1535
"tag:blogger.com,1999:blog-6020428279796748354.post-5649877156265377070","Dyatlov Geçidi: 9 Dağcının Çözülemeyen Ölüm Sırrı (1959)",claims,1268,1268
"tag:blogger.com,1999:blog-6020428279796748354.post-6987205650221294232","Bermuda Şeytan Üçgeni | Gizemli Kayıplar, Teoriler ve Gerçekler",claims,1287,1287
"tag:blogger.com,1999:blog-6020428279796748354.post-3158029597072892121","Göbekli Tepe'de 2025 Keşfi: Gizli Oda ve 12.000 Yıllık Sırlar",archaeology,1264,1264
"tag:blogger.com,1999:blog-6020428279796748354.post-2577162065256403866","Yapay Zeka Pompeii Rulo Yazılarını Çözüyor: 2000 Yıllık Sırlar Ortaya Çıktı",archaeology,1195,1195
"tag:blogger.com,1999:blog-6020428279796748354.post-5368630498637417440","Antik Mısır Uygarlığı | Piramitler, Firavunlar ve Gizemleri - Tarih Ders Notu",lesson,1098,1098
"tag:blogger.com,1999:blog-6020428279796748354.post-8368675915307799863","Göbekli Tepe Nedir? | Dünyanın En Eski Tapınağı ve Gizemleri - Tarih ve Arkeoloji",archaeology,938,1914
"tag:blogger.com,1999:blog-6020428279796748354.post-1566493199710925312","Kurtuluş Savaşı (1919-1922) | Nedenleri, Cepheler ve Sonuçları - Ders Notu",lesson,1158,1158
"tag:blogger.com,1999:blog-6020428279796748354.post-626849085970116056","Anunnaki Nedir? | Sümer Tanrıları ve Antik Uzaylı Teorisi - Tarih ve Gizem",claims,1057,1057
"tag:blogger.com,1999:blog-6020428279796748354.post-2470141426058259974","French Revolution (1789-1799) | Causes, Events & Impact - History Notes",history,1166,1166
"tag:blogger.com,1999:blog-6020428279796748354.post-427832349220043369","I. Dünya Savaşı (1914-1918) | Nedenleri, Cepheler ve Sonuçları - Ders Notu",lesson,885,1841
"tag:blogger.com,1999:blog-6020428279796748354.post-6591772817460110625","Osmanlı Kuruluş Dönemi (1299-1453) | Padişahlar ve Olaylar - Ders Notu",lesson,925,1879
"tag:blogger.com,1999:blog-6020428279796748354.post-295378504607897105","İskan Politikası Nedir? | Osmanlı'da İskan ve Sürgün Sistemi - Ders Notu",lesson,554,1488
"tag:blogger.com,1999:blog-6020428279796748354.post-1250357078688078655","Orun ve Ülüş Nedir? | İlk Türk Devletlerinde Mevki ve Pay Sistemi - Ders Notu",lesson,541,1500
"tag:blogger.com,1999:blog-6020428279796748354.post-4971634482291272558","Akşemseddin Kimdir? | Hayatı, Eserleri ve İstanbul'un Fethi - Ders Notu",lesson,645,1572
"tag:blogger.com,1999:blog-6020428279796748354.post-9055472904545625653","Feodalite Nedir? | Feodal Sistem ve Özellikleri - Ders Notu",lesson,585,1503
"tag:blogger.com,1999:blog-6020428279796748354.post-7929572198225665302","Atrahasis Destanı: İgigi İsyanı ve İnsanın Yaratılışı",myth,849,1873
"tag:blogger.com,1999:blog-6020428279796748354.post-2469869726981732162","Ereshkigal: Yeraltı Kraliçesi",myth,755,1717
"tag:blogger.com,1999:blog-6020428279796748354.post-468409095998039747","Göktürk Alfabesinin Gizli Gücü: Taşa Kazınan Şifreler",history,1202,1202
"tag:blogger.com,1999:blog-6020428279796748354.post-8373988403735843879","Anadolu'da Bulunan 9000 Yıllık Kafatası: Dünyanın İlk Beyin Ameliyatı",history,1117,1117
"tag:blogger.com,1999:blog-6020428279796748354.post-2866028534470487954","Fatih'in Gizli Silahı: İstanbul'u Fetheden Dehşet Toplar",history,1001,1001
"tag:blogger.com,1999:blog-6020428279796748354.post-8832870908115066734","Anadolu'nun En Karanlık Sırrı: Kimsenin Bilmediği Yeraltı Şehri",archaeology,1042,1042
"tag:blogger.com,1999:blog-6020428279796748354.post-1750920376804920901","Ongun: Türk Boylarının Kutsal Damgaları ve Totem Hayvanları",myth,1414,1414
"tag:blogger.com,1999:blog-6020428279796748354.post-1995094684779199692","Gökyüzüne Tapan Kavim: Türklerin Gök Tanrı İnancı",myth,1229,1229
"tag:blogger.com,1999:blog-6020428279796748354.post-3284772182734575469","Ergenekon'dan Çıkış: Türklerin Yeniden Doğuş Efsanesi",myth,966,1968
"tag:blogger.com,1999:blog-6020428279796748354.post-7341289383243316020","Göbeklitepe’de Anunnaki İzleri mi Var? 12 Bin Yıllık T Şeklinde Sütunların Şok Edici Sırrı",claims,745,1895
"tag:blogger.com,1999:blog-6020428279796748354.post-3509495537941455107","Anunnakilerin Gizli Mirası: İnsanlık, Tanrıların Unuttuğu Teknolojiyi mi Yeniden Keşfediyor?",claims,808,1893
"tag:blogger.com,1999:blog-6020428279796748354.post-7883771906527015169","Dicle Kıyısında 12.000 Yıllık Sır: Çemka Höyük'teki Kadın Şaman Mezarı",archaeology,2720,2720
"tag:blogger.com,1999:blog-6020428279796748354.post-8372073258496280873","Sümerlerin GİZEMLİ Türk Kökeni: Saklı Kalan Bin Yıllık Kadim Tarih",history,1720,1720
"tag:blogger.com,1999:blog-6020428279796748354.post-4317755225847324812","Satürn, Siyah Küp ve Kabe: Gerçekliği Manipüle Eden Kadim Tarikatın Gizemi",claims,2245,2245
"tag:blogger.com,1999:blog-6020428279796748354.post-4538689201227305614","Bir İmparatorluğun Çöküşünden Bir Cumhuriyetin Doğuşuna: 1918-1923 Arası Beş Yılın Anatomisi",history,618,1760
"tag:blogger.com,1999:blog-6020428279796748354.post-9197606891949567818","12 Kasım: Düzce Depremi ve Afet Bilincinin Doğuşu",today,563,1454
"tag:blogger.com,1999:blog-6020428279796748354.post-5804944568799070207","11 Kasım: Yeşil Geleceğe Atılan Fidan ve Ulusal Bilinç Günü",today,403,1316
"tag:blogger.com,1999:blog-6020428279796748354.post-5713202776089182807","10 Kasım: Bir Milletin Sessizliği ve Büyük Modernleşmenin Mirası",today,352,1397
"tag:blogger.com,1999:blog-6020428279796748354.post-1475501043122284635","9 Kasım’ın İki Yüzü: Yıkımdan Umuda Doğru Bir Tarihsel Bakış",today,629,1545
"tag:blogger.com,1999:blog-6020428279796748354.post-5232054005019238637","Arkeolojik Kanıtlar: Tabletler, Mühürler ve Tapınak Yazıtlarında Anunnaki",claims,998,2059
"tag:blogger.com,1999:blog-6020428279796748354.post-5940283210459263972","Hurri ve Hititlerde Eski Tanrılar: Anunnaki İnancının Anadolu’ya Uyarlanışı",claims,905,1975
"tag:blogger.com,1999:blog-6020428279796748354.post-8541289296498507681","Akad ve Babil’de Anunnaki: İgigi Ayrımı ve Yeraltı Tanrıları",claims,1895,1895
"tag:blogger.com,1999:blog-6020428279796748354.post-3903652736821160474","Yedi Başyüce Tanrı: An, Enlil, Enki, Ninhursag, Nanna, Utu, İnanna",myth,1020,1020
"tag:blogger.com,1999:blog-6020428279796748354.post-631933399008105089","Sümer Metinlerinde Anunnaki: Kaderleri Belirleyenlerden Göksel Meclise",claims,930,1969
"tag:blogger.com,1999:blog-6020428279796748354.post-6543116813018611824","Anunnakiler Kimdir? Mitolojik Kökenlerden Bilimsel Konsensüse Kadar Kapsamlı Rehber",claims,1530,1530
"tag:blogger.com,1999:blog-6020428279796748354.post-7761190610429408006","Antik Nükleer Enerji Teorisi: Geçmişte Atom Çağı mı Yaşandı?",claims,2090,2090
"tag:blogger.com,1999:blog-6020428279796748354.post-9012066472973951058","Tarihte Bugün – 5 Kasım: Patlayan Kuleler, Devrimlerin Gölgesi ve Bilimin Işığı",today,695,1621
"tag:blogger.com,1999:blog-6020428279796748354.post-8673547017000802617","Atlantis ve Kristal Enerji: Kayıp Uygarlığın Gerçek Teknolojisi mi?",claims,699,1770
"tag:blogger.com,1999:blog-6020428279796748354.post-6135702011916326521","Antik Frekanslar ve Sesle Taş Taşıma Teorisi: Kaybolan Bir Mühendislik Sırrı mı?",claims,764,1877
"tag:blogger.com,1999:blog-6020428279796748354.post-8815893261073624165","Tarihte Bugün – 4 Kasım: Özgürlük, Keşif ve Küresel Dönüşüm",today,713,1615
"tag:blogger.com,1999:blog-6020428279796748354.post-8938693094024851074","🗓️ TARİHTE BUGÜN – 3 KASIM: PANAMA BAĞIMSIZLIĞINI İLAN ETTİ",today,242,1269
"tag:blogger.com,1999:blog-6020428279796748354.post-270848805281894935","🗓️ TARİHTE BUGÜN – 2 KASIM: BBC İLK TELEVİZYON YAYININI YAPTI",today,222,1261
"tag:blogger.com,1999:blog-6020428279796748354.post-5287173656221835307","Antik Enerji Hatları: Dünyayı Birbirine Bağlayan Görünmez Güç Ağı",claims,734,1811
"tag:blogger.com,1999:blog-6020428279796748354.post-9177118880721845887","Antik Uzaylılar mı, Yoksa Kayıp İnsanlık Teknolojisi mi? Geçmişin İmkânsız Mühendisliği",claims,697,1807
"tag:blogger.com,1999:blog-6020428279796748354.post-2724330387939952231","Zamanın Mimarları: Takvimlerin ve Saatlerin Doğuşu",history,662,1720
"tag:blogger.com,1999:blog-6020428279796748354.post-9096634755558715862","İlk Mühendisler: Antik Dünyanın Dâhiyane Yapıları ve Mekanik Harikaları",history,680,1804
"tag:blogger.com,1999:blog-6020428279796748354.post-488825877258071683","Tarihte Bugün: 1 Kasım",today,436,1271
"tag:blogger.com,1999:blog-6020428279796748354.post-710815552116367856","Tarihte Bugün: 31 Ekim",today,274,1250
"tag:blogger.com,1999:blog-6020428279796748354.post-476691643620172947","Tarihte Bugün: 30 Ekim",today,346,1316
"tag:blogger.com,1999:blog-6020428279796748354.post-4157671313390269764","Unutulmuş Bilim İnsanları: Tarihin Gölgesinde Kalan Dehalar",history,373,1447
"tag:blogger.com,1999:blog-6020428279796748354.post-4310124075019060049","Tarihi Değiştiren Muharebeler: Dünyanın Kaderini Yeniden Çizen Savaşlar",history,425,1517
"tag:blogger.com,1999:blog-6020428279796748354.post-6351362197093644959","Kayıp Kütüphaneler: Bilginin Yok Oluşu ve İnsanlığın Unuttuğu Bilgeler",history,775,1886
"tag:blogger.com,1999:blog-6020428279796748354.post-6232353363684665348","Zamanın Başlangıcı: Takvimlerin Doğuşu ve İnsanlığın Zamanla İmtihanı",history,802,1894
"tag:blogger.com,1999:blog-6020428279796748354.post-8745690033661108592","Antik Uygarlıkların Kaybolan Teknolojileri: Modern Dünyaya Işık Tutan Sırlar",history,750,1860
"tag:blogger.com,1999:blog-6020428279796748354.post-6912026694046610552","Sındırgı (Balıkesir) İlçesinde Deprem Tarihçesi ve Güncel Durum",history,903,1993
"tag:blogger.com,1999:blog-6020428279796748354.post-4241506340212594971","🗓️ Tarihte Bugün: 27 Ekim",today,354,1321
